DISTRICT,VTD,POP
5,291,4535.0
5,290,9584.0
5,1040,10283.0
5,626,5260.0
5,562,6209.0
5,106,5979.0
4,64,6032.0
4,712,10193.0
4,249,5970.0
4,1302,5041.0
4,584,6563.0
4,1237,2788.0
4,1017,5752.0
4,1517,2905.0
4,1460,6480.0
8,295,6485.0
8,45,6485.0
8,281,9949.0
8,649,13817.0
8,214,6424.0
8,738,4892.0
8,739,5676.0
8,213,6663.0
8,1313,5438.0
8,44,11806.0
8,611,5441.0
8,608,6794.0
8,298,8772.0
8,66,6567.0
8,52,13642.0
8,280,13370.0
8,1148,3950.0
8,378,6761.0
8,1439,4880.0
1,13,8868.0
1,753,4289.0
1,760,5280.0
1,234,9412.0
8,1115,4379.0
8,67,7629.0
8,744,4824.0
8,299,5663.0
8,1061,3622.0
8,314,5562.0
8,1377,3078.0
8,380,6356.0
8,379,4022.0
8,1269,6623.0
1,1226,4863.0
1,1027,2476.0
1,278,2839.0
1,18,5698.0
1,1410,6406.0
1,732,6969.0
1,1435,5023.0
1,731,7378.0
1,1428,14052.0
8,618,4841.0
8,1462,2988.0
8,1062,6927.0
8,639,5886.0
8,640,7258.0
8,568,2596.0
8,1432,4986.0
8,1522,3651.0
1,1104,4993.0
1,832,7814.0
1,615,2402.0
8,1,4607.0
8,294,1637.0
8,746,5487.0
8,101,3887.0
8,505,4415.0
8,641,8048.0
8,171,4938.0
1,1365,8354.0
1,398,4057.0
1,1496,2801.0
1,646,11265.0
1,204,2952.0
1,1111,4515.0
1,1026,4166.0
7,1456,72.0
7,353,260.0
7,1427,336.0
9,800,2760.0
9,801,5427.0
4,124,6352.0
4,1019,3251.0
4,126,2904.0
4,122,11089.0
4,125,3050.0
4,123,5118.0
4,1244,2549.0
4,1245,7060.0
4,1128,5730.0
5,1031,3026.0
5,362,5564.0
5,62,9150.0
5,1289,2598.0
5,63,5104.0
5,652,9523.0
5,1247,2640.0
5,70,8358.0
5,186,10528.0
5,25,10806.0
5,1508,6773.0
5,220,12291.0
5,364,5561.0
5,1285,4996.0
5,799,11638.0
5,219,6109.0
5,1251,5357.0
5,1126,7522.0
5,1229,6160.0
5,1030,6698.0
5,442,5533.0
5,233,11328.0
5,593,10210.0
5,594,9593.0
5,598,12625.0
5,308,7645.0
5,1318,8333.0
5,184,10981.0
5,55,10524.0
5,26,877.0
5,60,7801.0
5,27,10804.0
5,175,13267.0
5,248,14837.0
5,385,10300.0
5,174,3830.0
5,386,9005.0
5,651,13602.0
5,388,8724.0
5,65,14766.0
5,387,7652.0
5,1109,3070.0
5,292,6436.0
7,1028,88.0
2,628,2256.0
2,1150,180.0
1,402,1152.0
9,839,23263.0
9,855,3175.0
9,824,4566.0
2,823,276.0
9,816,1857.0
9,817,383.0
9,847,884.0
9,815,41878.0
9,1010,233.0
9,846,17833.0
9,845,10679.0
9,844,12214.0
9,819,13395.0
9,822,10617.0
9,840,2718.0
9,848,1932.0
9,927,3446.0
9,841,14939.0
9,818,42651.0
9,820,284.0
9,821,949.0
2,602,1412.0
2,777,336.0
2,700,586.0
2,1125,3103.0
2,701,27.0
2,677,1042.0
2,678,1659.0
2,708,1362.0
2,794,563.0
2,773,97.0
2,676,2700.0
2,757,479.0
2,743,2230.0
2,1142,1680.0
2,706,948.0
2,496,1461.0
2,1381,419.0
2,707,530.0
2,606,688.0
2,774,984.0
2,605,989.0
2,604,964.0
2,675,1969.0
2,793,408.0
2,705,1403.0
2,1537,867.0
2,736,2125.0
2,702,6418.0
2,703,2795.0
2,489,1932.0
2,734,5723.0
2,571,470.0
2,1140,2911.0
2,735,3050.0
2,603,250.0
2,1131,13.0
2,704,2077.0
2,1444,210.0
2,771,4728.0
2,776,23.0
2,575,3300.0
2,493,2137.0
2,576,3045.0
2,775,1388.0
2,495,172.0
2,492,1992.0
2,490,1443.0
2,488,3202.0
2,573,4898.0
2,796,2816.0
2,772,1618.0
2,572,625.0
2,674,1682.0
2,792,2120.0
2,494,4197.0
2,788,2035.0
2,797,307.0
2,574,2786.0
2,1147,2404.0
2,1386,2345.0
2,491,574.0
7,1191,3594.0
7,973,2452.0
7,987,3372.0
7,1224,1526.0
7,1532,3014.0
7,1334,4347.0
7,974,3084.0
7,921,9351.0
7,852,10838.0
7,920,3825.0
7,1193,2562.0
7,1172,1955.0
7,969,3318.0
7,981,4582.0
7,1468,2803.0
7,1469,5453.0
7,930,11085.0
7,911,6340.0
7,1001,2699.0
6,1163,5228.0
6,947,8208.0
7,897,3877.0
7,1212,3512.0
7,968,6629.0
7,988,5102.0
7,980,6956.0
7,1453,2077.0
7,1454,5534.0
7,916,10829.0
7,1214,8182.0
7,1394,6876.0
7,1011,5622.0
7,1475,4039.0
7,1502,3889.0
7,888,2272.0
7,1400,738.0
6,1490,8488.0
7,1345,6020.0
6,1390,3738.0
6,1187,3516.0
6,1171,6062.0
6,1493,4925.0
6,1188,6095.0
6,1333,3078.0
6,944,4695.0
6,931,6996.0
6,909,6098.0
6,910,1820.0
6,1221,3447.0
6,1529,1941.0
7,1348,4130.0
7,1164,3214.0
7,1451,2850.0
7,1399,3881.0
7,1194,6214.0
7,928,15421.0
7,1201,4647.0
7,1470,5115.0
7,1407,92.0
7,1504,1657.0
7,946,10619.0
7,1501,3886.0
7,1403,3144.0
7,1351,5227.0
7,1169,4021.0
6,1181,5565.0
6,935,1145.0
6,936,5135.0
6,1389,6894.0
6,991,4049.0
6,1491,4048.0
6,1196,2564.0
6,1179,4239.0
6,1472,5508.0
6,889,9069.0
6,912,6634.0
6,1198,3537.0
6,993,2826.0
6,986,7307.0
6,950,4966.0
6,1506,4737.0
6,963,2682.0
6,1519,2581.0
6,1195,3255.0
6,1335,4577.0
6,1162,6417.0
6,952,3371.0
6,1189,4244.0
6,923,3751.0
6,1190,29.0
6,1471,86.0
6,922,3961.0
6,901,57.0
6,919,3653.0
6,1474,2188.0
6,992,4730.0
6,982,7977.0
6,966,3497.0
6,960,2571.0
6,999,8373.0
6,940,3040.0
6,959,7702.0
6,985,2721.0
6,1405,2893.0
6,965,4060.0
6,1406,7346.0
6,1452,2382.0
6,1000,9015.0
6,1353,2271.0
7,990,4339.0
6,1012,3621.0
6,1473,2434.0
6,1530,2667.0
6,972,4829.0
6,1476,470.0
6,933,8489.0
7,941,4659.0
7,1346,8163.0
7,1338,3662.0
6,932,2831.0
6,934,755.0
6,1015,7431.0
7,1339,2570.0
6,1505,2563.0
6,1350,2063.0
7,1329,4094.0
7,887,6035.0
7,926,7010.0
7,924,2973.0
7,943,2690.0
7,892,3366.0
7,925,178.0
7,949,1272.0
7,903,752.0
7,1402,1008.0
7,890,418.0
7,951,761.0
7,1008,5200.0
7,948,3423.0
7,1489,5299.0
7,1007,1815.0
7,998,10671.0
7,1006,4808.0
7,1197,12919.0
7,1176,4850.0
7,1344,4290.0
7,967,3110.0
7,1336,3329.0
6,1217,931.0
7,939,4110.0
7,989,6968.0
6,970,6447.0
7,1184,3723.0
7,1337,3884.0
7,1186,2209.0
7,1168,3187.0
6,1404,3410.0
7,1396,3753.0
7,913,4041.0
6,1330,6438.0
6,1210,4258.0
6,979,1602.0
6,900,4600.0
6,902,4496.0
6,853,3377.0
6,1205,3742.0
6,1340,2513.0
6,1004,7186.0
6,1003,4248.0
6,1002,4463.0
6,1220,4614.0
6,1005,4791.0
6,942,4752.0
6,1515,5344.0
6,1409,1751.0
6,1514,1775.0
6,1209,3542.0
6,1213,1245.0
6,962,5209.0
6,961,4401.0
6,938,2199.0
6,1450,3909.0
6,1492,3327.0
6,899,2170.0
6,1183,3013.0
6,1393,10526.0
6,1352,2174.0
6,997,3684.0
6,937,6992.0
6,1477,5245.0
6,1206,4964.0
6,995,5027.0
6,977,2930.0
6,978,629.0
6,976,2524.0
6,1536,1090.0
6,1349,1392.0
6,1503,4100.0
6,1401,2407.0
6,996,2544.0
6,1204,2530.0
6,1408,2927.0
6,1328,2452.0
6,1182,3904.0
6,1392,3871.0
6,1215,5017.0
6,1494,3553.0
6,1216,2507.0
6,1397,2025.0
6,1218,2777.0
6,1534,2722.0
7,1219,3039.0
7,355,168.0
7,905,1395.0
7,1202,1616.0
7,908,1167.0
7,917,473.0
7,906,563.0
7,886,439.0
7,918,347.0
2,263,3449.0
2,1242,201.0
2,270,55.0
2,269,973.0
5,265,4216.0
5,724,10536.0
5,726,8342.0
5,725,4217.0
5,655,6149.0
5,1102,3507.0
5,1141,5448.0
5,150,5352.0
5,342,3246.0
5,656,4786.0
5,264,5286.0
5,727,5131.0
5,340,7059.0
5,341,5068.0
5,728,6234.0
5,338,5746.0
5,151,5590.0
5,1416,3813.0
5,1443,4296.0
5,1084,2956.0
5,1321,3087.0
5,1305,3908.0
5,1086,4733.0
5,1069,4051.0
2,1385,1433.0
2,1499,2239.0
5,1068,5273.0
2,271,2412.0
6,160,3100.0
6,159,4645.0
6,268,3065.0
6,267,1957.0
6,1067,1264.0
6,162,3245.0
2,137,11170.0
2,139,1796.0
2,1065,918.0
2,138,9468.0
2,143,12353.0
2,144,3363.0
2,163,6011.0
2,337,3574.0
2,767,1606.0
2,723,5061.0
2,765,4958.0
2,766,4348.0
2,149,4975.0
2,722,5082.0
6,769,3585.0
6,135,4078.0
6,768,4917.0
6,134,4572.0
6,133,2698.0
2,664,4804.0
2,729,5171.0
2,153,5683.0
2,1082,4960.0
2,1083,2925.0
2,1241,5494.0
2,156,4785.0
2,770,9967.0
2,154,7549.0
2,155,6815.0
6,142,342.0
6,339,2335.0
6,629,2716.0
6,167,4218.0
2,140,2015.0
2,1066,0.0
2,662,2809.0
2,148,3337.0
2,1243,1898.0
2,146,2454.0
2,158,1070.0
7,166,465.0
7,1331,745.0
7,1173,1113.0
7,1332,88.0
7,1395,1063.0
7,894,2233.0
7,895,5923.0
7,1388,618.0
7,1158,5074.0
7,1166,880.0
7,896,3352.0
7,1449,2161.0
7,893,4427.0
7,1167,5299.0
7,1165,1878.0
7,1159,175.0
7,1175,3247.0
7,1398,907.0
7,1531,769.0
7,1518,984.0
7,1387,1511.0
7,1161,1046.0
7,1160,1023.0
7,1185,2031.0
7,1174,1122.0
2,874,12806.0
2,860,5303.0
2,782,13010.0
2,850,10836.0
2,849,978.0
2,787,110.0
2,871,4542.0
2,851,1316.0
2,861,715.0
2,783,11457.0
2,856,7433.0
2,858,18138.0
2,791,10268.0
2,857,5894.0
2,872,12525.0
2,876,11247.0
2,784,9797.0
2,1155,8900.0
2,779,1117.0
2,786,5826.0
2,870,6438.0
2,875,509.0
2,781,2191.0
2,778,89.0
2,780,2151.0
2,929,2755.0
2,1513,64.0
2,859,108.0
2,1211,90.0
2,866,1117.0
2,315,1177.0
2,1342,0.0
2,867,12262.0
2,785,496.0
2,790,74.0
2,789,6620.0
2,907,5173.0
2,868,189.0
2,983,3882.0
2,862,12464.0
2,865,7782.0
2,863,137.0
2,864,4063.0
2,869,13689.0
2,873,471.0
7,586,4629.0
7,469,4335.0
7,470,4224.0
7,553,3304.0
7,1298,3006.0
7,681,4816.0
7,551,2142.0
7,472,4893.0
7,475,8459.0
7,474,2313.0
7,473,3613.0
7,471,4624.0
7,683,4139.0
7,476,4937.0
7,682,6615.0
9,684,4648.0
9,514,5518.0
9,670,2376.0
7,521,1226.0
9,552,5303.0
9,513,4622.0
9,479,449.0
7,508,1638.0
9,477,4146.0
9,516,5773.0
9,478,10503.0
9,512,10770.0
7,507,9459.0
7,509,6389.0
7,510,19443.0
7,511,8801.0
7,549,5961.0
7,550,3223.0
9,518,1163.0
9,667,1145.0
9,668,47.0
7,517,1.0
7,457,1756.0
7,455,2126.0
7,460,3308.0
6,556,2513.0
6,461,1159.0
7,557,1923.0
7,836,4336.0
6,881,1149.0
2,813,2104.0
6,546,78.0
9,356,379.0
3,437,12317.0
1,99,18442.0
8,1275,3135.0
9,531,294.0
5,193,4883.0
7,188,15055.0
1,588,7885.0
9,761,9005.0
1,297,783.0
3,323,7095.0
8,755,4129.0
1,661,5083.0
9,250,13231.0
4,115,3019.0
3,229,12542.0
8,215,4212.0
8,344,12991.0
9,2,10637.0
5,69,7107.0
9,71,9993.0
4,714,5546.0
4,225,9761.0
4,718,11101.0
9,354,6579.0
9,1035,3793.0
8,253,6104.0
4,177,7682.0
4,307,6966.0
5,57,7327.0
1,191,4279.0
3,711,8542.0
1,327,6946.0
3,276,6875.0
3,304,7932.0
5,719,6718.0
3,563,7977.0
8,565,6604.0
3,285,3569.0
3,31,7014.0
9,650,1410.0
8,252,8195.0
5,1376,12015.0
8,1307,4169.0
7,500,8991.0
1,1023,4333.0
1,1281,6081.0
9,763,9125.0
3,1304,5842.0
4,1059,4971.0
8,1312,6078.0
3,578,8999.0
4,1135,9508.0
9,748,2920.0
3,182,4522.0
8,199,2667.0
4,377,24.0
3,1316,7699.0
3,1308,8409.0
3,183,17989.0
9,317,12021.0
8,607,8077.0
3,762,7309.0
7,363,12412.0
4,370,4953.0
3,351,11371.0
3,538,6158.0
9,854,1473.0
9,842,2372.0
2,843,1250.0
6,971,6579.0
6,1203,5811.0
7,964,10564.0
6,1208,911.0
7,945,5542.0
7,994,11960.0
7,1222,5854.0
7,1192,7001.0
7,1341,3772.0
7,891,3706.0
6,904,2862.0
7,1354,2657.0
6,898,3942.0
7,1391,7598.0
6,1009,6106.0
6,1170,5794.0
6,975,6837.0
6,1014,1388.0
6,1180,5660.0
7,1343,1016.0
7,1178,3461.0
7,1207,361.0
6,1200,3366.0
6,1177,3668.0
6,1013,3592.0
7,984,3249.0
6,1199,8174.0
7,1347,1403.0
7,1016,12974.0
6,266,3240.0
6,176,4055.0
6,660,6542.0
6,141,4394.0
6,658,3819.0
2,343,1638.0
2,136,2378.0
2,157,1109.0
2,1240,3958.0
6,145,5714.0
7,147,3482.0
6,164,4638.0
5,161,2926.0
7,663,2823.0
5,1133,3120.0
2,1306,3515.0
7,630,2685.0
2,152,7777.0
2,1510,1425.0
5,1085,13217.0
5,657,6853.0
6,165,2962.0
6,659,581.0
9,515,4293.0
9,520,5089.0
9,669,4493.0
9,519,6727.0
9,522,353.0
9,480,4273.0
